##############
# Main walls #
##############
# Main wall side 0:
# Column 0:
H:1.4.9   ; L:4.24   ; A:4.24   ; M:1.4.9   
H:1.4.10  ; L:5.4    ; A:5.4    ; M:1.4.10  
H:1.4.11  ; L:5.24   ; A:5.24   ; M:1.4.11  
H:1.4.12  ; L:6.4    ; A:6.4    ; M:1.4.12  
# Column 5:
H:1.5.0   ; L:0.5    ; A:0.5    ; M:1.5.0   
H:1.5.1   ; L:0.25   ; A:0.25   ; M:1.5.1   
H:1.5.2   ; L:1.5    ; A:1.5    ; M:1.5.2   
H:1.5.3   ; L:1.25   ; A:1.25   ; M:1.5.3   
H:1.5.4   ; L:2.5    ; A:2.5    ; M:1.5.4   
H:1.5.5   ; L:2.25   ; A:2.25   ; M:1.5.5   
H:1.5.6   ; L:3.5    ; A:3.5    ; M:1.5.6   
H:1.5.7   ; L:3.25   ; A:3.25   ; M:1.5.7   
H:1.5.8   ; L:4.5    ; A:4.5    ; M:1.5.8   
H:1.5.9   ; L:4.25   ; A:4.25   ; M:1.5.9   
H:1.5.10  ; L:5.5    ; A:5.5    ; M:1.5.10  
H:1.5.11  ; L:5.25   ; A:5.25   ; M:1.5.11  
H:1.5.12  ; L:6.5    ; A:6.5    ; M:1.5.12  
# Column 6:
H:1.6.0   ; L:0.6    ; A:0.6    ; M:1.6.0   
H:1.6.1   ; L:0.26   ; A:0.26   ; M:1.6.1   
H:1.6.2   ; L:1.6    ; A:1.6    ; M:1.6.2   
H:1.6.3   ; L:1.26   ; A:1.26   ; M:1.6.3   
H:1.6.4   ; L:2.6    ; A:2.6    ; M:1.6.4   
H:1.6.5   ; L:2.26   ; A:2.26   ; M:1.6.5   
H:1.6.6   ; L:3.6    ; A:3.6    ; M:1.6.6   
H:1.6.7   ; L:3.26   ; A:3.26   ; M:1.6.7   
H:1.6.8   ; L:4.6    ; A:4.6    ; M:1.6.8   
H:1.6.9   ; L:4.26   ; A:4.26   ; M:1.6.9   
H:1.6.10  ; L:5.6    ; A:5.6    ; M:1.6.10  
H:1.6.11  ; L:5.26   ; A:5.26   ; M:1.6.11  
H:1.6.12  ; L:6.6    ; A:6.6    ; M:1.6.12  
# Column 7:
H:1.7.0   ; L:0.7    ; A:0.7    ; M:1.7.0   
H:1.7.1   ; L:0.27   ; A:0.27   ; M:1.7.1   
H:1.7.2   ; L:1.7    ; A:1.7    ; M:1.7.2   
H:1.7.3   ; L:1.27   ; A:1.27   ; M:1.7.3   
H:1.7.4   ; L:2.7    ; A:2.7    ; M:1.7.4   
H:1.7.5   ; L:2.27   ; A:2.27   ; M:1.7.5   
H:1.7.6   ; L:3.7    ; A:3.7    ; M:1.7.6   
H:1.7.7   ; L:3.27   ; A:3.27   ; M:1.7.7   
H:1.7.8   ; L:4.7    ; A:4.7    ; M:1.7.8   
H:1.7.9   ; L:4.27   ; A:4.27   ; M:1.7.9   
H:1.7.10  ; L:5.7    ; A:5.7    ; M:1.7.10  
H:1.7.11  ; L:5.27   ; A:5.27   ; M:1.7.11  
H:1.7.12  ; L:6.7    ; A:6.7    ; M:1.7.12  
# Column 8:
H:1.8.0   ; L:0.8    ; A:0.8    ; M:1.8.0   
H:1.8.1   ; L:0.28   ; A:0.28   ; M:1.8.1   
H:1.8.2   ; L:1.8    ; A:1.8    ; M:1.8.2   
H:1.8.3   ; L:1.28   ; A:1.28   ; M:1.8.3   
H:1.8.4   ; L:2.8    ; A:2.8    ; M:1.8.4   
H:1.8.5   ; L:2.28   ; A:2.28   ; M:1.8.5   
H:1.8.6   ; L:3.8    ; A:3.8    ; M:1.8.6   
H:1.8.7   ; L:3.28   ; A:3.28   ; M:1.8.7   
H:1.8.8   ; L:4.8    ; A:4.8    ; M:1.8.8   
H:1.8.9   ; L:4.28   ; A:4.28   ; M:1.8.9   
H:1.8.10  ; L:5.8    ; A:5.8    ; M:1.8.10  
H:1.8.11  ; L:5.28   ; A:5.28   ; M:1.8.11  
H:1.8.12  ; L:6.8    ; A:6.8    ; M:1.8.12  
# Column 9:
H:1.9.0   ; L:0.9    ; A:0.9    ; M:1.9.0   
H:1.9.1   ; L:0.29   ; A:0.29   ; M:1.9.1   
H:1.9.2   ; L:1.9    ; A:1.9    ; M:1.9.2   
H:1.9.3   ; L:1.29   ; A:1.29   ; M:1.9.3   
H:1.9.4   ; L:2.9    ; A:2.9    ; M:1.9.4   
H:1.9.5   ; L:2.29   ; A:2.29   ; M:1.9.5   
H:1.9.6   ; L:3.9    ; A:3.9    ; M:1.9.6   
H:1.9.7   ; L:3.29   ; A:3.29   ; M:1.9.7   
H:1.9.8   ; L:4.9    ; A:4.9    ; M:1.9.8   
H:1.9.9   ; L:4.29   ; A:4.29   ; M:1.9.9   
H:1.9.10  ; L:5.9    ; A:5.9    ; M:1.9.10  
