# Table extracted from DocDB 4796-v1
# Author : Ramon Salazar
# Date   : 2019-01-07

S:12.11 ; X:0.1.1.14
S:12.12 ; X:0.1.0.14
S:12.13 ; M:0.10.11
S:12.14 ; M:0.11.11
S:12.15 ; M:0.12.11
S:12.16 ; M:0.13.11
S:12.17 ; M:0.14.11
S:12.18 ; M:0.15.11
S:12.19 ; M:0.16.11
S:12.20 ; M:0.17.11
S:12.21 ; M:0.18.11
S:12.22 ; M:0.19.11
S:12.23 ; X:0.1.1.13
S:12.24 ; X:0.1.0.13
S:12.25 ; M:0.10.10
S:12.26 ; M:0.11.10
S:12.27 ; M:0.12.10
S:12.28 ; M:0.13.10
S:12.29 ; M:0.14.10
S:12.30 ; M:0.15.10
S:12.31 ; M:0.16.10
S:12.32 ; M:0.17.10
S:12.33 ; M:0.18.10
S:12.34 ; M:0.19.10
S:12.35 ; X:0.1.1.12
S:12.36 ; X:0.1.0.12
S:12.37 ; M:0.10.9
S:12.38 ; M:0.11.9
S:12.39 ; M:0.12.9
S:12.40 ; M:0.13.9
S:12.41 ; M:0.14.9
S:12.42 ; M:0.15.9
S:12.43 ; M:0.16.9
S:12.44 ; M:0.17.9
S:12.45 ; M:0.18.9
S:12.46 ; M:0.19.9
S:12.47 ; X:0.1.1.11
S:12.48 ; X:0.1.0.11
S:12.49 ; M:0.10.8
S:12.50 ; M:0.11.8
S:12.51 ; M:0.12.8
S:12.52 ; M:0.13.8
S:12.53 ; M:0.14.8
S:12.54 ; M:0.15.8
S:12.55 ; M:0.16.8
S:12.56 ; M:0.17.8
S:12.57 ; M:0.18.8
S:12.58 ; M:0.19.8
S:12.59 ; X:0.1.1.10
S:12.60 ; X:0.1.0.10
# Sp:12.61 ; Spare
# Sp:12.62 ; Spare
# Sp:12.63 ; Spare
# Sp:12.64 ; Spare

S:13.1 ; X:0.0.0.9
